¥éËid,device,timestamp,location_id,location_color,duration,mAccuracy,mAltitude,mBearing,mExtras_networkLocationSource,mExtras_networkLocationType,mExtras_satellites,mHasAccuracy,mHasAltitude,mHasBearing,mHasSpeed,mProvider,mSpeed,mTime
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4024,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385422336,0,#0000FF,1.017990112,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4025,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385422336,0,#0000FF,0.021009922,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4026,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385422381,0,#0000FF,45.01799989,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4027,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385422381,0,#0000FF,0.016000032,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4028,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385424134,0,#0000FF,1753.776,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4029,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385424134,0,#0000FF,0.101000071,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4030,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385424134,0,#0000FF,0.019999981,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4031,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385424136,0,#0000FF,1.097990036,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4032,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385424136,0,#0000FF,0.059010029,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4034,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385424142,0,#0000FF,6.052999973,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4035,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385424142,0,#0000FF,0.037999868,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4036,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385424143,0,#0000FF,1.528000116,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4037,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385424143,0,#0000FF,0.023999929,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4039,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385424162,0,#0000FF,18.93499994,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4040,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385424162,0,#0000FF,0.007000208,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4042,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385424165,0,#0000FF,2.910999775,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4043,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385424165,0,#0000FF,0.026000023,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4045,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385424171,0,#0000FF,5.377000093,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4046,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385424171,0,#0000FF,0.015000105,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4054,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385425934,0,#0000FF,1763.771,21,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4055,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385425934,0,#0000FF,0.082000017,25,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4056,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385425934,0,#0000FF,0.012000084,25,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4057,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385425935,0,#0000FF,1.037999868,22,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4058,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385425935,0,#0000FF,0.006999969,22,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4059,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385425981,0,#0000FF,45.13499999,23,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4060,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385425981,0,#0000FF,0.015000105,23,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4061,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385427734,0,#0000FF,1753.705,22,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4062,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385427734,0,#0000FF,0.055999994,23,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4063,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385427734,0,#0000FF,0.013999939,23,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4064,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385427735,0,#0000FF,1.101000071,22,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4065,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385427736,0,#0000FF,0.019000053,22,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4066,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385427780,0,#0000FF,44.95099998,23,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4067,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385427780,0,#0000FF,0.009000063,23,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4068,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385429534,0,#0000FF,1753.886,23,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4069,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385429534,0,#0000FF,0.079999924,23,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-4070,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385429534,0,#0000FF,0.015000105,23,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
